字段名,建议类型,说明
内容,多行文本,原始收集文本
标题,文本,链接识别出的标题
链接,URL,内容里的第一条链接
平台,单选,wechat / bilibili / xiaohongshu / web / unknown
来源,单选,iOS 快捷指令 / OpenClaw / 手工测试
通道,单选,wechat / test / other
入口,文本,wechat-clipboard / openclaw-wechat / curl
发送人,文本,机器人入口发送人
消息ID,文本,去重 ID
CloudBaseItemId,文本,CloudBase item _id
状态,单选,待读 / 已排期 / 已读完 / 未读完 / 稍后再读 / 放弃
收集时间,日期,入队时间
批次ID,文本,所属批次 ID
日历开始,日期,阅读 block 开始时间
日历结束,日期,阅读 block 结束时间
日历链接,URL,飞书日历事件链接
反馈时间,日期,用户提交反馈的时间
阅读反馈,单选,已读完 / 未读完 / 稍后再读 / 放弃
备注,多行文本,用户反馈备注
